timestamp,Gender,Age,Role_raw,Education,Experience,Institution,CT1,CT2,CT3,CT4,CT5,"Theo Anh/Chị, điểm mạnh lớn nhất của chương trình đào tạo hiện nay là gì?",Hạn chế quan trọng nhất cần điều chỉnh là gì?,GV1,GV2,GV3,GV4,GV5,Năng lực nào của giảng viên cần được bồi dưỡng ưu tiên trong giai đoạn tới?,CS1,CS2,CS3,CS4,QL1,QL2,QL3,QL4,PH1,PH2,PH3,PH4,GP1,GP2,GP3,GP4,GP5,"Theo Anh/Chị, giải pháp then chốt nhất để nâng cao chất lượng đào tạo nhân lực ngành kinh tế là gì?",Những rào cản lớn nhất khi triển khai các giải pháp trên hiện nay?,Role,missing_rate,straight_liner,timestamp_parsed,qc_item_out_of_range,qc_all_same,qc_low_var,qc_straight_liner,age_band,exp_band,qc_logic_inconsistent,response_hash,dup_rank,qc_duplicate,qc_exclude_final
2026-01-18 16:53:42.179,Nam,35–44,Giảng viên,Thạc sĩ,11–20 năm,Đại học Ngoại thương,4,3,3,3,3,nan,nan,3,3,3,3,3,nan,3,3,3,3,2,4,3,3,4,3,4,4,4,4,4,5,5,nan,nan,Giảng viên,0.0,False,2026-01-18 16:53:42.179,False,False,False,False,3,3.0,False,f4550efd175866292874cf975c7a7697,1,False,False
2026-01-18 16:53:56.389,Nữ,35–44,Giảng viên,Tiến sĩ,11–20 năm,ĐH Ngoại Thương,4,5,4,4,5,Cập nhật kiến thức và đáp ứng yêu cầu mới trong chuyển đổi số.,Kỹ năng số của người dạy và người học cần được đào tạo nâng cao một cách hệ thống,4,4,4,4,4,nan,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,"Cập nhật nội dung đào tạo và nâng câo chất lượng GV, chất lượng SV để đáp ứng yêu về đầu ra cầu nhân lực.",nan,Giảng viên,0.0,False,2026-01-18 16:53:56.389,False,False,False,False,3,3.0,False,68cc56ab8269eb146a9e4c05b81c4b34,1,False,False
2026-01-18 16:54:26.523,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,nan,3,3,3,3,3,nan,nan,4,4,4,4,4,nan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,Sinh viên,0.0,False,2026-01-18 16:54:26.523,False,False,False,False,1,1.0,False,cfe73002f71c429c38f2718868ef3f0b,1,False,False
2026-01-18 16:55:04.704,Nam,35–44,Giảng viên,Thạc sĩ,11–20 năm,Đại học Ngoại Thương,4,4,4,4,4,nan,nan,4,4,4,4,4,nan,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,nan,nan,Giảng viên,0.0,False,2026-01-18 16:55:04.704,False,False,False,False,3,3.0,False,95b58905d232bed0b94d6e8253b3e23b,1,False,False
2026-01-18 16:57:35.000,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Đại học Công nghệ Giao thông vận tải,4,4,4,3,3,Bắt kịp với sự thay đổi của thị trường,"cần thực hành nhiều hơn để có trải nghiệm nhiều hơn, không chỉ dừng lại ở lý thuyết suông",4,4,4,4,4,nan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,Sinh viên,0.0,False,2026-01-18 16:57:35.000,False,False,False,False,1,1.0,False,cfe7571d3ba40a84dc4f2d6602d1bf29,1,False,False
2026-01-18 17:02:00.875,Nữ,Dưới 25,Sinh viên,Khác,Dưới 5 năm,Trường Đại Học Công Nghệ Giao Thông Vận Tải,4,3,4,5,4,Đó chính là lý thuyết và thực hành được thực hiện song song,nan,5,4,5,5,5,Có năng lực ứng dụng công nghệ số,5,5,4,5,5,4,5,5,5,4,4,4,4,4,3,4,5,Cập nhật CTĐT theo chuẩn kinh tế số,Chi phí để bồi dưỡng còn hạn chế,Sinh viên,0.0,False,2026-01-18 17:02:00.875,False,False,False,False,1,1.0,False,9a678461b18ca10542ad0c70ba8127d5,1,False,False
2026-01-18 17:04:00.491,Nữ,35–44,Giảng viên,Thạc sĩ,5–10 năm,Trường Đại học Công nghệ GTVT,4,5,3,3,4,Phù hợp với xu hướng kinh tế hội nhập quốc tế và trí tuệ nhân tạo,Kinh tế số sẽ làm thay đổi về cơ cấu lao động và thị trường lao động,5,5,4,3,4,ngoại ngữ và công nghệ,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,3,4,"tăng cường thời gian học thực hành, giảm thời gian học lý thuyết, đẩy mạnh hợp tác liên doanh, liên kết với doanh nghiệp","liên kết 3 nhà (nhà nước, nhà trường và nhà doanh nghiệp) chưa hiệu quả và đúng mục tiêu đề ra",Giảng viên,0.0,False,2026-01-18 17:04:00.491,False,False,False,False,3,2.0,False,6138f979d93b42f794848fa54a178355,1,False,False
2026-01-18 17:17:37.114,Nữ,45–54,Giảng viên,Thạc sĩ,Trên 20 năm,Đại học Ngoại thương,5,5,5,5,5,Chất lượng đầu vào của sinh viên,Hạ tầng cơ sở,5,5,5,5,5,nan,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,Đầu tư nâng cấp hạ tầng cơ sở,Tăng ngân sách cho nâng cấp hạ tầng cơ sở,Giảng viên,0.0,False,2026-01-18 17:17:37.114,False,False,False,False,4,4.0,False,c0d80cc74fdbae5130a506ba0bc31762,1,False,False
2026-01-18 18:06:01.269,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Học tại Trường Đại học Ngoại Thương,4,3,5,3,4,"- CT đào tạo gần gũi, gắn liền với yêu cầu thực tiễn của thị trường lao động 
(vì là điểm mạnh lớn nhất nên em chỉ nêu một điểm)","- Sinh viên còn nhận thấy một số học phần không phù hợp, xa vời với mục đích của ngành.",5,3,3,3,3,nan,5,3,4,2,3,4,4,4,4,4,3,3,4,3,5,5,5,nan,nan,Sinh viên,0.0,False,2026-01-18 18:06:01.269,False,False,False,False,1,1.0,False,94946c0af7ac2c5d5d202a26ad78f96b,1,False,False
2026-01-18 18:28:00.943,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Trường Đại học Ngoại Thương,5,5,5,5,5,nan,nan,5,5,5,5,5,nan,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,nan,nan,Sinh viên,0.0,False,2026-01-18 18:28:00.943,False,False,False,False,1,1.0,False,33a8ab7009f760d7f253310813443b99,1,False,False
2026-01-18 18:43:58.379,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,nan,3,3,2,4,5,nan,nan,5,4,4,4,4,nan,4,4,4,4,3,4,3,3,4,4,3,4,4,4,5,4,4,nan,nan,Sinh viên,0.0,False,2026-01-18 18:43:58.379,False,False,False,False,1,1.0,False,d4dcc02c1ad20b64bd73f86b80488424,1,False,False
2026-01-18 19:01:50.455,Nữ,35–44,Giảng viên,Thạc sĩ,5–10 năm,Trường Đại học ngoại thương,4,4,4,3,3,Tính liên ngành,Hoạt động thực tiễn hiệu quả chưa cao,4,4,4,3,4,nan,3,2,2,3,3,3,3,4,4,4,3,3,4,4,3,4,4,,Hạntaangf số và cách quản lya,Giảng viên,0.0,False,2026-01-18 19:01:50.455,False,False,False,False,3,2.0,False,c427b4dbc670f5a6dd234103974ee6a5,1,False,False
2026-01-18 19:28:57.177,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Đại học Công nghệ GTVt,3,4,3,2,2,I don’t know,"Thiếu thực hành, 1 số giảng viên dạy chưa sâu",3,3,3,3,4,Chuyên môn,3,3,3,3,4,4,4,3,4,4,4,5,4,4,4,4,4,Nâng cao chuyên môn người đào tạo,Chưa có chiến lược rõ ràng,Sinh viên,0.0,False,2026-01-18 19:28:57.177,False,False,False,False,1,1.0,False,c58adf6752670e05e89ae1d670aaecca,1,False,False
2026-01-18 19:45:43.696,Nam,35–44,Giảng viên,Tiến sĩ,11–20 năm,Trường ĐH Công nghệ GTVT,4,5,5,4,5,Các môn học tích hợp AI,Giảng viên được đào tạo chuyên nghiệp về công nghệ,4,5,5,5,5,Có năng lực ứng dụng công nghệ,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,"Lý thuyết gắn với Thực nghiệm, thực hành",Lý thuyết xa vời thực tế,Giảng viên,0.0,False,2026-01-18 19:45:43.696,False,False,False,False,3,3.0,False,77666839b922b634d64d9ff00ac6837e,1,False,False
2026-01-18 20:41:52.442,Nam,35–44,Giảng viên,Tiến sĩ,11–20 năm,ĐHNT/Khoa KTQT,4,4,3,3,3,Có chỉnh sửa bổ sung thường xuyên theo hướng mở linh hoạt,Cập nhật các kiến thức số cho chương trình,4,4,4,3,3,Năng lực khai thác công nghệ số,3,3,3,2,3,4,4,4,3,4,4,4,3,4,3,3,3,"Công nghệ hoá quy trình hoc tap, học thêm môn về dữ liệu, công nghệ","Thực thi áp dụng công nghệ trong đào tạo còn chậm do thiếu tài chính, cơ chế và lợi ích nhóm",Giảng viên,0.0,False,2026-01-18 20:41:52.442,False,False,False,False,3,3.0,False,6b59d4c3619c866c56399bb1c861f9dd,1,False,False
2026-01-18 21:41:17.817,Nữ,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Trường Đại học Ngoại thương,5,5,4,4,4,nan,nan,4,4,4,4,4,nan,4,5,4,4,5,5,4,4,4,5,4,5,4,4,4,5,4,nan,nan,Sinh viên,0.0,False,2026-01-18 21:41:17.817,False,False,False,False,1,1.0,False,6afc2c0430ede6ebc7eab6bda6f493a4,1,False,False
2026-01-19 01:06:07.308,Nam,Dưới 25,Sinh viên,Đại học,nan,Trường Đại Học Ngoại Thương,5,5,4,5,5,"Mang tính thực tiễn, bám sát với nhu cầu thị trường, khác biệt so với những ngành quá phổ biến trong thời kì nay",Em chưa thấy có,5,4,5,5,5,Em chưa thấy có năng lực nào cần cải thiện ạ,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,"Kiến thức là quan trọng nhưng theo cá nhân em thì kiến thức được tiếp thu thì cũng cần được thực hành, ta nên hướng tới thực hành nhiều hơn để sinh viên có thể va chạm, hiểu rõ hơn những kiến thức ấy được vận dụng như thế nào ở những doanh nghiệp",Em chưa thấy có ạ,Sinh viên,0.0,False,2026-01-19 01:06:07.308,False,False,False,False,1,,False,6ed7599ae11aedba00c3e39fe7cc7db1,1,False,False
2026-01-19 07:27:23.290,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Trường Đại học Ngoại thương,3,4,3,2,3,nan,nan,3,3,2,3,3,nan,3,2,4,4,3,3,2,4,3,3,3,3,2,2,3,3,3,nan,nan,Sinh viên,0.0,False,2026-01-19 07:27:23.290,False,False,False,False,1,1.0,False,4a4a2b152919c952467a3d03ea38c806,1,False,False
2026-01-19 08:33:30.814,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,.,4,4,4,4,4,.,.,4,4,5,5,5,.,5,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,4,.,.,Giảng viên,0.0,False,2026-01-19 08:33:30.814,False,False,False,False,3,3.0,False,1a74d60782c6c60e6212b53fdfcabacf,1,False,False
2026-01-19 08:41:26.128,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,Đại học Đông Á,5,5,5,5,5,"CTĐT được cập nhật liên tục và sử dụng học liệu quốc tế. SV được tham quan, tham gia dự án thực tế ngay từ năm nhất",SV được học về công nghệ chứ chưa được đào tạo bằng công nghệ,4,5,5,5,5,Khả năng nghiên cứu ứng dụng phối hợp cùng doanh nghiệp.,5,4,5,5,4,4,5,5,4,5,5,5,4,4,5,5,5,Đào tạo gắn liền với hệ sinh thái doanh nghiệp,"- Chương trình: quy trình thẩm định và ban hành CTĐT chưa phù hợp với tốc độ thay đổi của kinh tế số
- Giảng viên: tư duy ngại thay đổi
- CSVC: ngân sách đầu tư và duy trì quá lớn",Giảng viên,0.0,False,2026-01-19 08:41:26.128,False,False,False,False,3,3.0,False,74103d7b5a28d5c9f5d6562201e3ec80,1,False,False
2026-01-19 08:53:01.821,Nam,35–44,Giảng viên,Tiến sĩ,5–10 năm,"Trường Đại học Ngoại ngữ, Đại học Đà Nẵng",5,5,3,4,5,Luôn được cập nhật theo yêu cầu chuyển đổi số và thị trường lao động,Các nội dung được cập nhật quá nhanh vượt quá mức độ đáp ứng của cơ sở vật chất,5,4,5,5,3,Khả năng sử dụng công nghệ và AI,4,4,5,5,5,5,5,4,4,4,5,5,4,5,5,5,4,Giải pháp 2,Thể chế và phúc lợi,Giảng viên,0.0,False,2026-01-19 08:53:01.821,False,False,False,False,3,2.0,False,a16d5395eb64a5b8df430918ec70b774,1,False,False
2026-01-19 09:10:38.292,Nữ,45–54,Giảng viên,Tiến sĩ,11–20 năm,"Khoa tiếng Nhật, trường Đại học Ngoại thương",4,4,4,4,4,nan,nan,4,4,4,4,4,"Năng lực ứng dụng số, sử dụng AI vào giảng dạy và nghiên cứu",2,2,2,2,2,4,4,4,3,3,4,4,4,3,3,2,2,"Xây dựng cơ sở vật chất phù hợp, đáp ứng với nhu cầu đào tạo",Cơ sở vật chất,Giảng viên,0.0,False,2026-01-19 09:10:38.292,False,False,False,False,4,3.0,False,190ad7953ec0ba4036e90854525277a7,1,False,False
2026-01-19 09:57:39.464,Nữ,35–44,Giảng viên,Tiến sĩ,11–20 năm,nan,4,3,2,2,2,nan,nan,3,3,3,3,2,nan,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,nan,nan,Giảng viên,0.0,False,2026-01-19 09:57:39.464,False,False,False,False,3,3.0,False,0174b68783b1e191426073d454373cb6,1,False,False
2026-01-19 10:15:53.206,Nữ,35–44,Giảng viên,Thạc sĩ,5–10 năm,Đại học Ngoại thương,4,4,4,4,4,nan,nan,4,4,4,4,4,nan,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,nan,nan,Giảng viên,0.0,False,2026-01-19 10:15:53.206,False,False,False,False,3,2.0,False,0faa8de44369074308faa74654d7fc05,1,False,False
2026-01-19 11:10:51.171,Nữ,45–54,Giảng viên,Thạc sĩ,Trên 20 năm,Trường ĐH Hà Nội,3,2,2,2,2,Ứng dụng chuyển đổi số,"Tính thực tiễn, gia tăng thực hành",3,3,4,3,3,nan,3,2,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,Đào tạo bám sát dự báo nhu cầu thị trường trong dài hạn,nan,Giảng viên,0.0,False,2026-01-19 11:10:51.171,False,False,False,False,4,4.0,False,131cc908a76ec7edfc10517323e51ef3,1,False,False
2026-01-19 12:10:48.835,Nữ,35–44,Giảng viên,Thạc sĩ,5–10 năm,nan,5,4,4,5,5,nan,nan,5,5,5,5,5,nan,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,4,5,nan,nan,Giảng viên,0.0,False,2026-01-19 12:10:48.835,False,False,False,False,3,2.0,False,74727c5f03d1e18331898d41f2a5ae72,1,False,False
2026-01-19 14:05:34.690,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,Trường Đại học Tài chính-Quản trị kinh doanh,4,4,4,4,4,nan,nan,4,3,4,4,4,nan,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,nan,nan,Giảng viên,0.0,False,2026-01-19 14:05:34.690,False,False,False,False,3,3.0,False,e65b047c306dd55e8cea8a8d886696fd,1,False,False
2026-01-19 14:11:34.774,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,ĐH Tài chính -Quản trị kinh doanh,4,4,4,4,4,Giảng viên luôn chủ động cập nhật kiến thức mới đưa vào bài giảng cả lý thuyết và thực hành.,Cần tăng số giờ thực hành,4,4,3,3,3,Trình độ tiếng anh,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Đào tạo theo yêu cầu vị trí việc làm của doanh nghiệp,"Thái độ, niềm đam mê của sinh viên với ngành học",Giảng viên,0.0,False,2026-01-19 14:11:34.774,False,False,False,False,3,3.0,False,ca7f02e9358b1a7e115803931a2f7ea1,1,False,False
2026-01-19 14:30:26.159,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,"Phạm Thị Hường, trường Đại học Tài chính - Quản trị kinh doanh",3,4,4,4,4,Tăng cường phát triển năng lực và phẩm chất người học,Quá tải cho người học,5,5,5,5,5,Năng lực đổi mới phương pháp dạy học theo định hướng phát triển năng lực người học,4,4,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,Gắn chặt đào tạo với như cầu thực tiễn của thị trường lao động và doanh nghiệp,"Thiếu đồng bộ về nguồn lực, năng lực thực thi và cơ chế phối hợp",Giảng viên,0.0,False,2026-01-19 14:30:26.159,False,False,False,False,3,3.0,False,0fa5bd7d3f8a73363506add09ae9bba2,1,False,False
2026-01-19 14:31:21.782,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Đại Học Tài Chính Quản trị kinh doanh,1,2,1,1,1,Kĩ năng,Tiếng anh,1,2,3,2,1,Học thêm,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,3,3,Học hỏi,Bài tập,Sinh viên,0.0,False,2026-01-19 14:31:21.782,False,False,False,False,1,1.0,False,443a12dc7652b700681303f992d24cde,1,False,False
2026-01-19 14:32:32.816,Nam,Dưới 25,Sinh viên,Khác,Dưới 5 năm,Trường Đại học Tài Chính Quản trị kinh doanh,2,3,2,3,3,Học bám sát nghành,Học thực hành,4,2,3,3,3,Giảng viên có kiến thức chuyên môn vững,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nâng cao chất lượng giảng dạy,Công nghệ,Sinh viên,0.0,False,2026-01-19 14:32:32.816,False,False,False,False,1,1.0,False,64991859247143435fffbe0283bee41c,1,False,False
2026-01-19 14:33:35.505,Nữ,Dưới 25,Sinh viên,Khác,Dưới 5 năm,ĐẠI HỌC,2,4,3,3,3,Tốt,Không,4,5,5,5,5,Không,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,K,K,Sinh viên,0.0,False,2026-01-19 14:33:35.505,False,False,False,False,1,1.0,False,2add1a704e283ec65b49becaede0c2c5,1,False,False
2026-01-19 14:35:07.534,Nữ,Dưới 25,Sinh viên,Đại học,nan,Trường Đại học Tài chính - Quản trị kinh doanh,5,5,5,5,4,nan,nan,5,5,5,5,4,nan,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,4,4,nan,nan,Sinh viên,0.0,False,2026-01-19 14:35:07.534,False,False,False,False,1,,False,546e6e579bf54c3acb42b3f19620500a,1,False,False
2026-01-19 14:37:28.126,Nữ,Dưới 25,Sinh viên,Đại học,nan,Đại học Tài - Quản Trị Kinh Doanh,3,4,3,3,4,nan,nan,4,3,4,3,3,nan,2,2,3,3,3,4,4,4,3,4,4,4,3,3,3,2,3,nan,nan,Sinh viên,0.0,False,2026-01-19 14:37:28.126,False,False,False,False,1,,False,69660243f0b7936b9f3767fa6edd870d,1,False,False
2026-01-19 14:38:08.882,Nữ,25–34,Sinh viên,Thạc sĩ,5–10 năm,nan,3,3,3,3,2,nan,nan,4,3,3,4,3,nan,3,2,4,3,3,3,3,3,3,2,3,2,3,3,3,2,3,nan,nan,Sinh viên,0.0,False,2026-01-19 14:38:08.882,False,False,False,False,2,2.0,False,426cb2233297dad045b9268a83b164e2,1,False,False
2026-01-19 14:38:21.580,Nữ,45–54,Giảng viên,Thạc sĩ,Trên 20 năm,Trường Đại học Tài chính Quản trị kinh doanh,3,3,3,4,4,NHiều học phần gắn với lĩnh vực kinh tế,Ít học phần có tín chỉ thực hành hoặc trải nghiệm thực tế doanh nghiệp,5,4,5,4,4,Sử dụng và ứng dụng các côngnghê hiện đại như AI vào giảng dạy,3,4,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,Năng lực số của giảng viên và  cơ sở vật chất hạ tầng số,Quản lý chương trình đào tạo theo mô hình số và sự đầu tư hạ tầng số của trường đại học,Giảng viên,0.0,False,2026-01-19 14:38:21.580,False,False,False,False,4,4.0,False,97d42fa6b40aae94a9a5f9a3069221bf,1,False,False
2026-01-19 14:42:31.040,Nam,35–44,Giảng viên,Thạc sĩ,11–20 năm,nan,4,4,5,4,4,nan,nan,5,5,5,5,5,nan,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,nan,nan,Giảng viên,0.0,False,2026-01-19 14:42:31.040,False,False,False,False,3,3.0,False,b4c5821f8bef123f1ebf8eeaea450037,1,False,False
2026-01-19 14:54:46.592,Nữ,35–44,Giảng viên,Thạc sĩ,11–20 năm,nan,3,3,2,2,2,nan,nan,2,2,2,2,2,nan,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,nan,nan,Giảng viên,0.0,False,2026-01-19 14:54:46.592,False,False,False,False,3,3.0,False,2b7b66e8d80a6fa6598b9e6debc8e208,1,False,False
2026-01-19 14:55:31.729,Nam,35–44,Giảng viên,Thạc sĩ,11–20 năm,Trường đại học tài chính quản trị kinh doanh,1,3,1,3,2,Đào tạo chắc kiến thức cơ bản,Cập nhật chuyển đổi số và thực hành,4,2,3,2,2,Ứng dụng công nghệ số vào giảng dạy,1,1,1,1,2,2,2,2,4,4,3,3,4,4,4,4,4,Chú trọng đào tạo kiến thức căn bản và sử dụng công nghệ số,Kinh phí và đơn vị uy tín,Giảng viên,0.0,False,2026-01-19 14:55:31.729,False,False,False,False,3,3.0,False,6932babcd123eff0e5bc42828793dca8,1,False,False
